109 | Fresh                | Kgs    | stock=    -6.500 | cp=  250.00 | Paneer
 84 | Packing Material     | Nos    | stock=  2486.000 | cp=    4.96 | Paper Box (Lunch)
 86 | Packing Material     | Nos    | stock=  2943.000 | cp=    3.36 | Paratha Box
120 | Dry                  | Kgs    | stock=     9.000 | cp=   10.00 | Paratha Masala
 87 | Packing Material     | Nos    | stock=    47.000 | cp=    6.96 | Partition Box
129 | Fresh                | Nos    | stock=     0.000 | cp=   35.00 | Pav
112 | Fresh                | Kgs    | stock=     0.000 | cp=   35.00 | Pav / Kulcha
 48 | Dry                  | Btl    | stock=     0.000 | cp=   90.00 | Pav Bhaji Masala
 91 | Milk Based Product   | Kgs    | stock=    -3.000 | cp=  150.00 | Petha
 81 | Packing Material     | Nos    | stock=   885.000 | cp=    0.90 | Pickle & Paratha
140 | Milk Based Product   | Pcs    | stock=     0.000 | cp=   15.00 | Plum Cake
 92 | Fresh                | Kgs    | stock=    -2.000 | cp=   13.00 | Potato
118 | Fresh                | Kgs    | stock=    31.000 | cp=   12.00 | Pumpkin
 60 | Dry                  | Pkt    | stock=     0.000 | cp=  315.00 | Rai
  5 | Dry                  | Kgs    | stock=    13.000 | cp=  115.00 | Rajma
152 | Dry                  | kg     | stock=    80.000 | cp=  125.00 | Rajma (Expensive)
 32 | Dry                  | Pkt    | stock=     0.000 | cp=   72.00 | Rajma Masala
115 | Dry                  | Kgs    | stock=     1.350 | cp=  736.25 | Rajma Masala (Kgs)
 41 | Dry                  | Kgs    | stock=     1.850 | cp=  736.00 | Rajmah Masala
163 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Rajmah Masala(Expensive)
 46 | Dry                  | Btl    | stock=     0.000 | cp=   90.00 | Red Chilli Sauce
  3 | Dry                  | Ltr    | stock=   240.000 | cp=  175.00 | Refined Oil
149 | Dry                  | ltr    | stock=     0.000 | cp=  180.92 | Refined Oil (Expensive)
  2 | Dry                  | Kgs    | stock=   615.500 | cp=   68.00 | Rice
126 | Dry                  | Kgs    | stock=     0.000 | cp=   30.00 | Rice (Cheaper)
166 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Rice(Idlee)
 76 | Packing Material     | Nos    | stock=  6800.000 | cp=    0.24 | Roti Pouch
172 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Sabji Masala
130 | Dry                  | Pkt    | stock=     0.000 | cp=  105.00 | Sabudana
119 | Dry                  | Pkt    | stock=     0.000 | cp=   70.00 | Sabzi Masala
 77 | Packing Material     | Nos    | stock=  6533.000 | cp=    0.18 | Salad Pkt
 26 | Dry                  | Kgs    | stock=    22.000 | cp=   28.00 | Salt
 80 | Packing Material     | Nos    | stock=  6337.000 | cp=    0.15 | Salt Pouch
 58 | Dry                  | Pkt    | stock=     0.000 | cp=   76.00 | Sambhar Masala
 36 | Dry                  | Kgs    | stock=     0.000 | cp=  210.00 | Sarson
  4 | Dry                  | Kgs    | stock=     0.400 | cp=  120.00 | Sarson Dana
147 | Dry                  | Kgs    | stock=     0.000 | cp=    0.00 | Schezwan Sauce
 64 | Dry                  | Kgs    | stock=     0.450 | cp=  880.00 | Shahi Paneer Masala (Kgs)
 63 | Dry                  | Pkt    | stock=     0.000 | cp=   86.50 | Shahi Paneer Masala (Pkt)
121 | Packing Material     | Kgs    | stock=     0.300 | cp=  708.00 | Silver Foil
 65 | Dry                  | Kgs    | stock=    41.000 | cp=   94.50 | Soya Bean Badiya
134 | Dry                  | Btl    | stock=     0.000 | cp=   70.00 | Soya Sauce
 78 | Packing Material     | Nos    | stock=  4067.000 | cp=    0.50 | Spoon / Mini Meal
 50 | Dry                  | Kgs    | stock=     0.000 | cp= 1600.00 | Star Phool Masala
 61 | Dry                  | Kgs    | stock=     0.000 | cp=   49.00 | Sugar
 82 | Packing Material     | Nos    | stock=     3.000 | cp=   23.60 | Tape
 33 | Dry                  | Kgs    | stock=     0.549 | cp=  168.00 | Tej Patta
161 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Tej Patta(Expensive)
 94 | Dry                  | Kgs    | stock=    10.500 | cp=   31.00 | Tomato
173 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Tomato 'R'
148 | Dry                  | Kgs    | stock=     0.000 | cp=    0.00 | Tomato Sauce
123 | Fresh                | Nos    | stock=     0.000 | cp=   25.00 | Tori
154 | Dry                  | kg     | stock=    13.000 | cp=  120.00 | URD CRD CHILKAT (Expensive)
  6 | Dry                  | Kgs    | stock=     0.000 | cp=  120.00 | Urad (S)
 11 | Dry                  | Kgs    | stock=     0.000 | cp=  110.00 | Urad Dal Chilka
 14 | Dry                  | Kgs    | stock=    10.000 | cp=  135.00 | Urad Dhuli
 45 | Dry                  | Btl    | stock=     0.000 | cp=   84.00 | Vinegar
